tipe,node,volume,prioritas,deadline,kecepatan,kapasitas,Dago,Setiabudi,Lembang,Cihampelas,Pasteur,Cimahi,Gedung Sate,BIP,Pasar Baru,Asia Afrika,Astana Anyar,Leuwi Panjang,Kopo,Buahbatu,Kiaracondong,Gatot Subroto,Cibeunying,Cicaheum,Arcamanik,Ujungberung,Cibiru
konfigurasi,Dago,,,,50,150,,,,,,,,,,,,,,,,,,,,,
paket,Dago,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Setiabudi,12,2,4.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Lembang,15,3,6.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Cihampelas,8,1,3.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Pasteur,20,3,2.5,,,,,,,,,,,,,,,,,,,,,,,
paket,Cimahi,25,2,5.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Gedung Sate,6,2,4.5,,,,,,,,,,,,,,,,,,,,,,,
paket,BIP,10,1,3.5,,,,,,,,,,,,,,,,,,,,,,,
paket,Pasar Baru,14,2,4.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Asia Afrika,18,3,3.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Astana Anyar,10,1,5.5,,,,,,,,,,,,,,,,,,,,,,,
paket,Leuwi Panjang,22,2,6.5,,,,,,,,,,,,,,,,,,,,,,,
paket,Kopo,15,1,7.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Buahbatu,16,3,4.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Kiaracondong,14,2,5.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Gatot Subroto,12,1,6.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Cibeunying,8,2,4.5,,,,,,,,,,,,,,,,,,,,,,,
paket,Cicaheum,15,3,3.5,,,,,,,,,,,,,,,,,,,,,,,
paket,Arcamanik,10,2,5.5,,,,,,,,,,,,,,,,,,,,,,,
paket,Ujungberung,12,2,6.0,,,,,,,,,,,,,,,,,,,,,,,
paket,Cibiru,15,1,8.0,,,,,,,,,,,,,,,,,,,,,,,
jarak,Dago,,,,,,0,4,-1,3,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1
jarak,Setiabudi,,,,,,4,0,10,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Lembang,,,,,,-1,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Cihampelas,,,,,,3,3,-1,0,3,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Pasteur,,,,,,-1,-1,-1,3,0,8,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Cimahi,,,,,,-1,-1,-1,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Gedung Sate,,,,,,3,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,-1
jarak,BIP,,,,,,-1,-1,-1,2,-1,-1,2,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Pasar Baru,,,,,,-1,-1,-1,-1,4,-1,-1,2,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Asia Afrika,,,,,,-1,-1,-1,-1,-1,-1,-1,2,-1,0,2,5,-1,-1,-1,3,-1,-1,-1,-1,-1
jarak,Astana Anyar,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,-1,3,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Leuwi Panjang,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,0,3,6,-1,-1,-1,-1,-1,-1,-1
jarak,Kopo,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,-1,-1,-1,-1,-1,-1,-1,-1
jarak,Buahbatu,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,0,4,4,-1,-1,-1,-1,-1
jarak,Kiaracondong,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,3,-1,4,-1,-1,-1
jarak,Gatot Subroto,,,,,,-1,-1,-1,-1,-1,-1,3,-1,-1,3,-1,-1,-1,4,3,0,-1,-1,-1,-1,-1
jarak,Cibeunying,,,,,,4,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,-1,-1,-1
jarak,Cicaheum,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,3,0,3,-1,-1
jarak,Arcamanik,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,4,-1
jarak,Ujungberung,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,5
jarak,Cibiru,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,0
